FVA result

obj : 0.873922(+-10.0%)
Name	min	max
R_CYTBD	35.984865	51.239087
R_PPCK	0.0	17.161
R_PGM	-16.732521	-8.686588
R_Biomass_Ecoli_core_w_GAM	0.786529	0.873922
R_SUCCt3	0.0	22.881333
R_PPC	0.0	20.346866
R_GLNabc	0.0	0.0
R_SUCOAS	-8.045934	0.0
R_CS	0.848587	8.89452
R_EX_glu_L_e	0.0	1.271185
R_EX_akg_e	0.0	1.430083
R_GLUDy	-5.358857	13.073328
R_ALCD2x	-2.214323	0.0
R_RPI	-8.611291	-0.565357
R_GLUt2r	-1.271185	0.0
R_PTAr	0.0	3.813556
R_NH4t	4.288787	5.559972
R_PGK	-17.909169	-9.863235
R_PFL	0.0	11.322324
R_EX_mal_L_e	0.0	0.0
R_GLNS	0.201116	17.362116
R_RPE	-0.620909	15.52651
R_EX_fum_e	0.0	0.0
R_TPI	1.171706	9.217639
R_EX_h_e	15.777779	27.100103
R_CO2t	-26.52885	-15.206526
R_ICL	0.0	8.045934
R_PFK	1.171706	25.290644
R_ACALD	-2.54237	0.0
R_SUCCt2_2	0.0	22.881333
R_ACONTb	0.848587	8.89452
R_FRD7	0.0	1000.0
R_FBP	0.0	17.161
R_FBA	1.171706	9.217639
R_ADK1	0.0	17.161
R_PYK	0.0	21.382993
R_EX_nh4_e	-5.559972	-4.288787
R_ACALDt	-2.54237	0.0
R_ETOHt2r	-2.214323	0.0
R_PIt2r	2.893406	3.214895
R_EX_for_e	0.0	11.322324
R_TALA	-0.154536	7.905223
R_ACONTa	0.848587	8.89452
R_MALS	0.0	8.045934
R_ICDHyr	0.848587	8.89452
R_PGI	-14.299039	9.838761
R_ACt2r	-3.813556	0.0
R_FORt2	0.0	68.644
R_EX_o2_e	-25.619543	-17.992432
R_EX_succ_e	0.0	1.674244
R_ACKr	-3.813556	0.0
R_ME1	0.0	11.935889
R_ME2	0.0	15.318642
R_G6PDH2r	0.0	24.137801
R_FRUpts2	0.0	0.0
R_TKT2	-0.466373	7.621286
R_EX_gln_L_e	0.0	0.0
R_EX_pi_e	-3.214895	-2.893406
R_TKT1	-0.154536	7.905223
R_THD2	0.0	37.041989
R_D_LACt2	-2.145125	0.0
R_EX_acald_e	0.0	2.54237
R_EX_ac_e	0.0	3.813556
R_EX_h2o_e	20.93592	32.258244
R_LDH_D	-2.145125	0.0
R_NADTRHD	0.0	44.759583
R_O2t	17.992432	25.619543
R_MALt2_2	0.0	0.0
R_EX_etoh_e	0.0	2.214323
R_PGL	0.0	24.137801
R_EX_fru_e	0.0	0.0
R_MDH	-3.249741	16.091867
R_EX_lac_D_e	0.0	2.145125
R_PDH	0.0	19.888208
R_SUCDi	0.0	1000.0
R_EX_glc_e	-10.0	-9.046611
R_ATPM	8.39	25.551
R_PYRt2r	-2.54237	0.0
R_AKGt2r	-1.430083	0.0
R_PPS	0.0	17.161
R_ENO	8.686588	16.732521
R_H2Ot	-32.258244	-20.93592
R_NADH16	32.659149	51.239087
R_GLUSy	0.0	17.161
R_AKGDH	0.0	8.045934
R_GAPD	9.863235	17.909169
R_ATPS4r	34.825618	59.381062
R_FUM	-0.512914	8.045934
R_GND	0.0	24.137801
R_FORti	0.0	68.644
R_EX_pyr_e	0.0	2.54237
R_GLCpts	9.046611	10.0
R_FUMt2_2	0.0	0.0
R_EX_co2_e	15.206526	26.52885
R_GLUN	0.0	17.161
