	M_lac_D_b	lacZ	X	M_glc_D_b	
0.0	5.8	0.0	0.011	1.6	
0.1	5.8	0.0	0.011626	1.592649	
0.2	5.8	0.0	0.012287	1.584879	
0.3	5.8	0.0	0.012985	1.576668	
0.4	5.8	0.0	0.013724	1.567989	
0.5	5.8	0.0	0.014504	1.558818	
0.6	5.8	0.0	0.015329	1.549124	
0.7	5.8	0.0	0.016201	1.53888	
0.8	5.8	0.0	0.017122	1.528053	
0.9	5.8	0.0	0.018096	1.51661	
1.0	5.8	0.0	0.019125	1.504516	
1.1	5.8	0.0	0.020212	1.491735	
1.2	5.8	0.0	0.021362	1.478226	
1.3	5.8	0.0	0.022577	1.46395	
1.4	5.8	0.0	0.023861	1.448862	
1.5	5.8	0.0	0.025217	1.432915	
1.6	5.8	0.0	0.026652	1.416062	
1.7	5.8	0.0	0.028167	1.398251	
1.8	5.8	0.0	0.029769	1.379426	
1.9	5.8	0.0	0.031462	1.359531	
2.0	5.8	0.0	0.033251	1.338505	
2.1	5.8	0.0	0.035142	1.316283	
2.2	5.8	0.0	0.03714	1.292797	
2.3	5.8	0.0	0.039252	1.267976	
2.4	5.8	0.0	0.041485	1.241743	
2.5	5.8	0.0	0.043844	1.214018	
2.6	5.8	0.0	0.046337	1.184717	
2.7	5.8	0.0	0.048972	1.153749	
2.8	5.8	0.0	0.051757	1.121021	
2.9	5.8	0.0	0.0547	1.086431	
3.0	5.8	0.0	0.057811	1.049874	
3.1	5.8	0.0	0.061099	1.011238	
3.2	5.8	0.0	0.064573	0.970405	
3.3	5.8	0.0	0.068245	0.92725	
3.4	5.8	0.0	0.072126	0.881641	
3.5	5.8	0.0	0.076228	0.833438	
3.6	5.8	0.0	0.080563	0.782494	
3.7	5.8	0.0	0.085144	0.728653	
3.8	5.8	0.0	0.089986	0.671751	
3.9	5.8	0.0	0.095103	0.611612	
4.0	5.8	0.0	0.100512	0.548053	
4.1	5.8	0.0	0.106228	0.48088	
4.2	5.8	0.0	0.112269	0.409887	
4.3	5.8	0.0	0.118653	0.334856	
4.4	5.8	0.0	0.125401	0.255559	
4.5	5.8	0.0	0.132532	0.171752	
4.6	5.8	0.0	0.140069	0.08318	
4.7	5.8	1.0	0.147274	0.0	
4.8	5.755648	1.0	0.148407	0.0	
4.9	5.710955	1.0	0.149548	0.0	
5.0	5.665918	1.0	0.150698	0.0	
5.1	5.620535	1.0	0.151857	0.0	
5.2	5.574803	1.0	0.153025	0.0	
5.3	5.528719	1.0	0.154202	0.0	
5.4	5.482281	1.0	0.155388	0.0	
5.5	5.435485	1.0	0.156583	0.0	
5.6	5.38833	1.0	0.157788	0.0	
5.7	5.340812	1.0	0.159001	0.0	
5.8	5.292928	1.0	0.160224	0.0	
5.9	5.244676	1.0	0.161457	0.0	
6.0	5.196053	1.0	0.162698	0.0	
6.1	5.147056	1.0	0.16395	0.0	
6.2	5.097683	1.0	0.165211	0.0	
6.3	5.047929	1.0	0.166481	0.0	
6.4	4.997793	1.0	0.167762	0.0	
6.5	4.947271	1.0	0.169052	0.0	
6.6	4.896361	1.0	0.170352	0.0	
6.7	4.845059	1.0	0.171662	0.0	
6.8	4.793362	1.0	0.172983	0.0	
6.9	4.741268	1.0	0.174313	0.0	
7.0	4.688773	1.0	0.175654	0.0	
7.1	4.635875	1.0	0.177005	0.0	
7.2	4.582569	1.0	0.178366	0.0	
7.3	4.528854	1.0	0.179738	0.0	
7.4	4.474725	1.0	0.18112	0.0	
7.5	4.42018	1.0	0.182514	0.0	
7.6	4.365216	1.0	0.183917	0.0	
7.7	4.309829	1.0	0.185332	0.0	
7.8	4.254016	1.0	0.186757	0.0	
7.9	4.197774	1.0	0.188194	0.0	
8.0	4.141099	1.0	0.189641	0.0	
8.1	4.083988	1.0	0.1911	0.0	
8.2	4.026438	1.0	0.192569	0.0	
8.3	3.968445	1.0	0.194051	0.0	
8.4	3.910006	1.0	0.195543	0.0	
8.5	3.851118	1.0	0.197047	0.0	
8.6	3.791777	1.0	0.198562	0.0	
8.7	3.731979	1.0	0.20009	0.0	
8.8	3.671722	1.0	0.201629	0.0	
8.9	3.611001	1.0	0.203179	0.0	
9.0	3.549813	1.0	0.204742	0.0	
9.1	3.488155	1.0	0.206317	0.0	
9.2	3.426022	1.0	0.207904	0.0	
9.3	3.363411	1.0	0.209503	0.0	
9.4	3.300319	1.0	0.211114	0.0	
9.5	3.236742	1.0	0.212738	0.0	
9.6	3.172675	1.0	0.214374	0.0	
9.7	3.108116	1.0	0.216023	0.0	
9.8	3.04306	1.0	0.217684	0.0	
9.9	2.977504	1.0	0.219358	0.0	
10.0	2.911444	1.0	0.221046	0.0	
10.1	2.844876	1.0	0.222746	0.0	
10.2	2.777795	1.0	0.224459	0.0	
10.3	2.710199	1.0	0.226185	0.0	
10.4	2.642083	1.0	0.227925	0.0	
10.5	2.573443	1.0	0.229678	0.0	
10.6	2.504275	1.0	0.231444	0.0	
10.7	2.434575	1.0	0.233224	0.0	
10.8	2.364339	1.0	0.235018	0.0	
10.9	2.293562	1.0	0.236826	0.0	
11.0	2.222242	1.0	0.238647	0.0	
11.1	2.150373	1.0	0.240483	0.0	
11.2	2.077951	1.0	0.242332	0.0	
11.3	2.004972	1.0	0.244196	0.0	
11.4	1.931432	1.0	0.246074	0.0	
11.5	1.857326	1.0	0.247967	0.0	
11.6	1.78265	1.0	0.249874	0.0	
11.7	1.7074	1.0	0.251796	0.0	
11.8	1.631571	1.0	0.253733	0.0	
11.9	1.555159	1.0	0.255684	0.0	
12.0	1.478159	1.0	0.257651	0.0	
12.1	1.400567	1.0	0.259632	0.0	
12.2	1.322378	1.0	0.261629	0.0	
12.3	1.243588	1.0	0.263641	0.0	
12.4	1.164192	1.0	0.265669	0.0	
12.5	1.084185	1.0	0.267712	0.0	
12.6	1.003563	1.0	0.269771	0.0	
12.7	0.92232	1.0	0.271846	0.0	
12.8	0.840453	1.0	0.273937	0.0	
12.9	0.757957	1.0	0.276044	0.0	
13.0	0.674825	1.0	0.278167	0.0	
13.1	0.591055	1.0	0.280307	0.0	
13.2	0.50664	1.0	0.282462	0.0	
13.3	0.421575	1.0	0.284635	0.0	
13.4	0.335857	1.0	0.286824	0.0	
13.5	0.249479	1.0	0.28903	0.0	
13.6	0.162437	1.0	0.291253	0.0	
13.7	0.074726	1.0	0.293493	0.0	
13.8	0.0	1.0	0.295215	0.0	
13.9	0.0	1.0	0.295215	0.0	
14.0	0.0	1.0	0.295215	0.0	
14.1	0.0	1.0	0.295215	0.0	
14.2	0.0	1.0	0.295215	0.0	
14.3	0.0	1.0	0.295215	0.0	
14.4	0.0	1.0	0.295215	0.0	
14.5	0.0	1.0	0.295215	0.0	
14.6	0.0	1.0	0.295215	0.0	
14.7	0.0	1.0	0.295215	0.0	
14.8	0.0	1.0	0.295215	0.0	
