Reaction flux result

Flux : R_EX_o2_e
Objective : R_Biomass_Ecoli_core_w_GAM

Flux	Objective
-20.0	0.832614
-19.95	0.831466
-19.9	0.830318
-19.85	0.82917
-19.8	0.828023
-19.7	0.825727
-19.75	0.826875
-19.65	0.824579
-19.6	0.823432
-19.55	0.822284
-19.5	0.821136
-19.45	0.819988
-19.4	0.81884
-19.35	0.817693
-19.3	0.816545
-19.25	0.815397
-19.2	0.814249
-19.15	0.813102
-19.1	0.811954
-19.05	0.810806
-19.0	0.809658
-18.95	0.808511
-18.9	0.807363
-18.85	0.806215
-18.8	0.805067
-18.7	0.802772
-18.75	0.80392
-18.65	0.801624
-18.6	0.800476
-18.55	0.799328
-18.45	0.797033
-18.5	0.798181
-18.4	0.795885
-18.35	0.794737
-18.3	0.79359
-18.25	0.792442
-18.2	0.791294
-18.15	0.790146
-18.1	0.788999
-18.05	0.787851
-18.0	0.786703
-17.95	0.785555
-17.9	0.784408
-17.85	0.78326
-17.8	0.782112
-17.7	0.779816
-17.75	0.780964
-17.65	0.778669
-17.6	0.777521
-17.55	0.776373
-17.5	0.775225
-17.45	0.774078
-17.4	0.77293
-17.35	0.771782
-17.3	0.770634
-17.25	0.769487
-17.2	0.768339
-17.15	0.767191
-17.05	0.764896
-17.1	0.766043
-17.0	0.763748
-16.9	0.761452
-16.95	0.7626
-16.85	0.760304
-16.8	0.759157
-16.75	0.758009
-16.7	0.756861
-16.65	0.755713
-16.6	0.754566
-16.55	0.753418
-16.5	0.75227
-16.45	0.751122
-16.35	0.748827
-16.4	0.749975
-16.3	0.747679
-16.25	0.746531
-16.2	0.745384
-16.15	0.744236
-16.1	0.743088
-16.05	0.74194
-16.0	0.740793
-15.95	0.739645
-15.9	0.738497
-15.85	0.737349
-15.8	0.736201
-15.75	0.735054
-15.7	0.733906
-15.6	0.73161
-15.65	0.732758
-15.55	0.730463
-15.5	0.729315
-15.45	0.728167
-15.4	0.727019
-15.35	0.725872
-15.3	0.724724
-15.25	0.723576
-15.2	0.722428
-15.15	0.721281
-15.1	0.720133
-15.05	0.718985
-15.0	0.717837
-14.95	0.716689
-14.9	0.715542
-14.85	0.714394
-14.8	0.713246
-14.75	0.712098
-14.7	0.710951
-14.65	0.709803
-14.6	0.708535
-14.55	0.70691
-14.45	0.703661
-14.5	0.705285
-14.4	0.702036
-14.35	0.700411
-14.3	0.698786
-14.25	0.697161
-14.2	0.695537
-14.15	0.693912
-14.1	0.692287
-14.05	0.690662
-14.0	0.689037
-13.95	0.687412
-13.9	0.685788
-13.85	0.684163
-13.8	0.682538
-13.75	0.680913
-13.7	0.679288
-13.6	0.676039
-13.65	0.677663
-13.5	0.672789
-13.55	0.674414
-13.45	0.671164
-13.4	0.669539
-13.3	0.66629
-13.35	0.667914
-13.25	0.664665
-13.2	0.66304
-13.15	0.661415
-13.1	0.65979
-13.05	0.658165
-12.95	0.654916
-13.0	0.656541
-12.85	0.651666
-12.9	0.653291
-12.8	0.650041
-12.75	0.648416
-12.7	0.646792
-12.65	0.645167
-12.6	0.643542
-12.55	0.641917
-12.5	0.640292
-12.45	0.638667
-12.4	0.637043
-12.35	0.635418
-12.3	0.633793
-12.25	0.632168
-12.2	0.630543
-12.15	0.628918
-12.1	0.627294
-12.05	0.625669
-11.95	0.622419
-12.0	0.624044
-11.9	0.620794
-11.85	0.619169
-11.8	0.617545
-11.75	0.61592
-11.7	0.614295
-11.65	0.61267
-11.6	0.611045
-11.55	0.60942
-11.5	0.607796
-11.45	0.606171
-11.4	0.604546
-11.35	0.602921
-11.3	0.601296
-11.25	0.599671
-11.2	0.598047
-11.15	0.596422
-11.1	0.594797
-11.05	0.593172
-11.0	0.591547
-10.95	0.589922
-10.9	0.588298
-10.85	0.586673
-10.8	0.585048
-10.75	0.583423
-10.7	0.581798
-10.65	0.580173
-10.6	0.578549
-10.55	0.576924
-10.5	0.575299
-10.45	0.573674
