Time	M_lcts_b	lacZ	X	M_glc_D_b	
0.0	5.8	0.0	0.011	1.6	
0.1	5.8	0.0	0.011671	1.592634	
0.2	5.8	1.0	0.012383	1.584819	
0.30000000000000004	5.8	1.0	0.013139	1.576526	
0.4	5.8	1.0	0.013941	1.567728	
0.5	5.8	1.0	0.014791	1.558393	
0.6000000000000001	5.8	1.0	0.015694	1.548488	
0.7000000000000001	5.8	1.0	0.016651	1.53798	
0.8	5.8	1.0	0.017667	1.526829	
0.9	5.8	1.0	0.018745	1.514999	
1.0	5.8	1.0	0.019889	1.502447	
1.1	5.8	1.0	0.021102	1.489129	
1.2000000000000002	5.8	1.0	0.02239	1.474998	
1.3	5.8	1.0	0.023756	1.460005	
1.4000000000000001	5.8	1.0	0.025205	1.444097	
1.5	5.8	1.0	0.026743	1.427219	
1.6	5.8	1.0	0.028375	1.40931	
1.7000000000000002	5.8	1.0	0.030106	1.39031	
1.8	5.8	1.0	0.031943	1.370149	
1.9000000000000001	5.8	1.0	0.033892	1.348759	
2.0	5.8	1.0	0.03596	1.326064	
2.1	5.8	1.0	0.038154	1.301984	
2.2	5.8	1.0	0.040482	1.276434	
2.3000000000000003	5.8	1.0	0.042952	1.249326	
2.4000000000000004	5.8	1.0	0.045573	1.220564	
2.5	5.8	1.0	0.048354	1.190047	
2.6	5.8	1.0	0.051304	1.157667	
2.7	5.8	1.0	0.054434	1.123313	
2.8000000000000003	5.8	1.0	0.057755	1.086862	
2.9000000000000004	5.8	1.0	0.061279	1.048187	
3.0	5.8	1.0	0.065018	1.007152	
3.1	5.8	1.0	0.068985	0.963614	
3.2	5.8	1.0	0.073194	0.917419	
3.3000000000000003	5.8	1.0	0.07766	0.868405	
3.4000000000000004	5.8	1.0	0.082399	0.816401	
3.5	5.8	1.0	0.087426	0.761224	
3.6	5.8	1.0	0.092761	0.70268	
3.7	5.8	1.0	0.09842	0.640565	
3.8000000000000003	5.8	1.0	0.104426	0.574659	
3.9000000000000004	5.8	1.0	0.110797	0.504732	
4.0	5.8	1.0	0.117557	0.430539	
4.1000000000000005	5.8	1.0	0.12473	0.351818	
4.2	5.8	1.0	0.13234	0.268295	
4.3	5.8	1.0	0.140415	0.179675	
4.4	5.8	1.0	0.148983	0.085648	
4.5	5.8	1.0	0.156933	0.0	
4.6000000000000005	5.8	1.0	0.156933	0.0	
4.7	5.8	1.0	0.156933	0.0	
4.800000000000001	5.8	1.0	0.156933	0.0	
4.9	5.8	2.0	0.156933	0.0	
5.0	5.751623	2.0	0.165659	0.0	
5.1000000000000005	5.700556	2.0	0.17487	0.0	
5.2	5.64665	2.0	0.184593	0.0	
5.300000000000001	5.589746	2.0	0.194856	0.0	
5.4	5.529679	2.0	0.20569	0.0	
5.5	5.466272	2.0	0.217127	0.0	
5.6000000000000005	5.399339	2.0	0.229199	0.0	
5.7	5.328685	2.0	0.241943	0.0	
5.800000000000001	5.254103	2.0	0.255395	0.0	
5.9	5.175373	2.0	0.269595	0.0	
6.0	5.092266	2.0	0.284585	0.0	
6.1000000000000005	5.004539	2.0	0.300408	0.0	
6.2	4.911933	2.0	0.317111	0.0	
6.300000000000001	4.814179	2.0	0.334743	0.0	
6.4	4.71099	2.0	0.353355	0.0	
6.5	4.602063	2.0	0.373002	0.0	
6.6000000000000005	4.487079	2.0	0.393741	0.0	
6.7	4.365703	2.0	0.415633	0.0	
6.800000000000001	4.237578	2.0	0.438743	0.0	
6.9	4.102329	2.0	0.463137	0.0	
7.0	3.95956	2.0	0.488888	0.0	
7.1000000000000005	3.808853	2.0	0.51607	0.0	
7.2	3.649767	2.0	0.544764	0.0	
7.300000000000001	3.481835	2.0	0.575054	0.0	
7.4	3.304566	2.0	0.607027	0.0	
7.5	3.117441	2.0	0.640778	0.0	
7.6000000000000005	2.919911	2.0	0.676406	0.0	
7.7	2.711399	2.0	0.714015	0.0	
7.800000000000001	2.491293	2.0	0.753715	0.0	
7.9	2.25895	2.0	0.795622	0.0	
8.0	2.013688	2.0	0.839859	0.0	
8.1	1.754789	2.0	0.886556	0.0	
8.200000000000001	1.481495	2.0	0.935849	0.0	
8.3	1.193005	2.0	0.987883	0.0	
8.4	0.888476	2.0	1.04281	0.0	
8.5	0.567014	2.0	1.100791	0.0	
8.6	0.227679	2.0	1.161996	0.0	
8.700000000000001	0.0	2.0	1.202391	0.0	
8.8	0.0	2.0	1.202391	0.0	
8.9	0.0	2.0	1.202391	0.0	
9.0	0.0	2.0	1.202391	0.0	
9.1	0.0	2.0	1.202391	0.0	
9.200000000000001	0.0	2.0	1.202391	0.0	
9.3	0.0	2.0	1.202391	0.0	
9.4	0.0	2.0	1.202391	0.0	
9.5	0.0	2.0	1.202391	0.0	
9.600000000000001	0.0	2.0	1.202391	0.0	
9.700000000000001	0.0	2.0	1.202391	0.0	
9.8	0.0	2.0	1.202391	0.0	
9.9	0.0	2.0	1.202391	0.0	
10.0	0.0	2.0	1.202391	0.0	
10.100000000000001	0.0	2.0	1.202391	0.0	
10.200000000000001	0.0	2.0	1.202391	0.0	
10.3	0.0	2.0	1.202391	0.0	
10.4	0.0	2.0	1.202391	0.0	
10.5	0.0	2.0	1.202391	0.0	
10.600000000000001	0.0	2.0	1.202391	0.0	
10.700000000000001	0.0	2.0	1.202391	0.0	
10.8	0.0	2.0	1.202391	0.0	
