Two reactions fluxes result

Flux1 : R_EX_glc_e
Flux2 : R_EX_o2_e
Objective : R_Biomass_Ecoli_core_w_GAM

Flux1	Flux2	Objective
-10.0	-20.0	0.832614
-10.0	-19.5	0.821136
-10.0	-19.0	0.809658
-10.0	-18.5	0.798181
-10.0	-18.0	0.786703
-10.0	-17.5	0.775225
-10.0	-17.0	0.763748
-10.0	-16.5	0.75227
-10.0	-16.0	0.740793
-10.0	-15.5	0.729315
-10.0	-15.0	0.717837
-10.0	-14.5	0.705285
-10.0	-14.0	0.689037
-10.0	-13.5	0.672789
-10.0	-13.0	0.656541
-10.0	-12.5	0.640292
-10.0	-12.0	0.624044
-10.0	-11.5	0.607796
-10.0	-11.0	0.591547
-10.0	-10.5	0.575299
-10.0	-10.0	0.559051
-10.0	-9.5	0.542802
-10.0	-9.0	0.526554
-10.0	-8.5	0.510306
-10.0	-8.0	0.494057
-10.0	-7.5	0.477809
-10.0	-7.0	0.461561
-10.0	-6.5	0.445312
-10.0	-6.0	0.427646
-10.0	-5.5	0.409647
-10.0	-5.0	0.391648
-10.0	-4.5	0.37365
-10.0	-4.0	0.355651
-10.0	-3.5	0.337653
-10.0	-3.0	0.319654
-10.0	-2.5	0.301656
-10.0	-2.0	0.283657
-10.0	-1.5	0.265659
-10.0	-1.0	0.24766
-10.0	-0.5	0.229661
-10.0	0.0	0.211663
-9.5	-20.0	0.809658
-9.5	-19.5	0.798181
-9.5	-19.0	0.786703
-9.5	-18.5	0.775225
-9.5	-18.0	0.763748
-9.5	-17.5	0.75227
-9.5	-17.0	0.740793
-9.5	-16.5	0.729315
-9.5	-16.0	0.717837
-9.5	-15.5	0.70636
-9.5	-15.0	0.694882
-9.5	-14.5	0.683404
-9.5	-14.0	0.671927
-9.5	-13.5	0.656541
-9.5	-13.0	0.640292
-9.5	-12.5	0.624044
-9.5	-12.0	0.607796
-9.5	-11.5	0.591547
-9.5	-11.0	0.575299
-9.5	-10.5	0.559051
-9.5	-10.0	0.542802
-9.5	-9.5	0.526554
-9.5	-9.0	0.510306
-9.5	-8.5	0.494057
-9.5	-8.0	0.477809
-9.5	-7.5	0.461561
-9.5	-7.0	0.445312
-9.5	-6.5	0.429064
-9.5	-6.0	0.412416
-9.5	-5.5	0.394417
-9.5	-5.0	0.376419
-9.5	-4.5	0.35842
-9.5	-4.0	0.340422
-9.5	-3.5	0.322423
-9.5	-3.0	0.304425
-9.5	-2.5	0.286426
-9.5	-2.0	0.268428
-9.5	-1.5	0.250429
-9.5	-1.0	0.232431
-9.5	-0.5	0.214432
-9.5	0.0	0.196433
-9.0	-20.0	0.777826
-9.0	-19.5	0.775225
-9.0	-19.0	0.763748
-9.0	-18.5	0.75227
-9.0	-18.0	0.740793
-9.0	-17.5	0.729315
-9.0	-17.0	0.717837
-9.0	-16.5	0.70636
-9.0	-16.0	0.694882
-9.0	-15.5	0.683404
-9.0	-15.0	0.671927
-9.0	-14.5	0.660449
-9.0	-14.0	0.648971
-9.0	-13.5	0.637494
-9.0	-13.0	0.624044
-9.0	-12.5	0.607796
-9.0	-12.0	0.591547
-9.0	-11.5	0.575299
-9.0	-11.0	0.559051
-9.0	-10.5	0.542802
-9.0	-10.0	0.526554
-9.0	-9.5	0.510306
-9.0	-9.0	0.494057
-9.0	-8.5	0.477809
-9.0	-8.0	0.461561
-9.0	-7.5	0.445312
-9.0	-7.0	0.429064
-9.0	-6.5	0.412816
-9.0	-6.0	0.396567
-9.0	-5.5	0.379188
-9.0	-5.0	0.361189
-9.0	-4.5	0.343191
-9.0	-4.0	0.325192
-9.0	-3.5	0.307194
-9.0	-3.0	0.289195
-9.0	-2.5	0.271197
-9.0	-2.0	0.253198
-9.0	-1.5	0.2352
-9.0	-1.0	0.217201
-9.0	-0.5	0.199202
-9.0	0.0	0.181204
-8.5	-20.0	0.709194
-8.5	-19.5	0.720633
-8.5	-19.0	0.732071
-8.5	-18.5	0.729315
-8.5	-18.0	0.717837
-8.5	-17.5	0.70636
-8.5	-17.0	0.694882
-8.5	-16.5	0.683404
-8.5	-16.0	0.671927
-8.5	-15.5	0.660449
-8.5	-15.0	0.648971
-8.5	-14.5	0.637494
-8.5	-14.0	0.626016
-8.5	-13.5	0.614538
-8.5	-13.0	0.603061
-8.5	-12.5	0.591547
-8.5	-12.0	0.575299
-8.5	-11.5	0.559051
-8.5	-11.0	0.542802
-8.5	-10.5	0.526554
-8.5	-10.0	0.510306
-8.5	-9.5	0.494057
-8.5	-9.0	0.477809
-8.5	-8.5	0.461561
-8.5	-8.0	0.445312
-8.5	-7.5	0.429064
-8.5	-7.0	0.412816
-8.5	-6.5	0.396567
-8.5	-6.0	0.380319
-8.5	-5.5	0.363958
-8.5	-5.0	0.34596
-8.5	-4.5	0.327961
-8.5	-4.0	0.309963
-8.5	-3.5	0.291964
-8.5	-3.0	0.273966
-8.5	-2.5	0.255967
-8.5	-2.0	0.237969
-8.5	-1.5	0.21997
-8.5	-1.0	0.201971
-8.5	-0.5	0.183973
-8.5	0.0	0.165974
-8.0	-20.0	0.640562
-8.0	-19.5	0.652001
-8.0	-19.0	0.663439
-8.0	-18.5	0.674878
-8.0	-18.0	0.686317
-8.0	-17.5	0.683404
-8.0	-17.0	0.671927
-8.0	-16.5	0.660449
-8.0	-16.0	0.648971
-8.0	-15.5	0.637494
-8.0	-15.0	0.626016
-8.0	-14.5	0.614538
-8.0	-14.0	0.603061
-8.0	-13.5	0.591583
-8.0	-13.0	0.580106
-8.0	-12.5	0.568628
-8.0	-12.0	0.55715
-8.0	-11.5	0.542802
-8.0	-11.0	0.526554
-8.0	-10.5	0.510306
-8.0	-10.0	0.494057
-8.0	-9.5	0.477809
