Two reactions fluxes result

Flux1 : R_EX_glc_e
Flux2 : R_EX_o2_e
Objective : R_Biomass_Ecoli_core_w_GAM

Flux1	Flux2	Objective
-20.0	-19.5	1.192735
-20.0	-20.0	1.208983
-20.0	-19.0	1.176487
-20.0	-18.5	1.160239
-20.0	-17.5	1.127742
-20.0	-18.0	1.14399
-20.0	-16.5	1.095245
-20.0	-17.0	1.111494
-20.0	-16.0	1.078997
-20.0	-15.5	1.062749
-20.0	-14.5	1.030252
-20.0	-15.0	1.0465
-20.0	-13.5	0.997755
-20.0	-14.0	1.014004
-20.0	-13.0	0.981507
-20.0	-12.5	0.965259
-20.0	-11.5	0.93022
-20.0	-11.0	0.912222
-20.0	-10.5	0.894223
-20.0	-10.0	0.876225
-20.0	-9.5	0.858226
-20.0	-9.0	0.840228
-20.0	-8.5	0.822229
-20.0	-12.0	0.948219
-20.0	-7.5	0.786232
-20.0	-8.0	0.804231
-20.0	-6.5	0.750235
-20.0	-6.0	0.732236
-20.0	-7.0	0.768234
-20.0	-5.0	0.696239
-20.0	-5.5	0.714238
-20.0	-4.5	0.678241
-20.0	-4.0	0.660242
-20.0	-3.5	0.642244
-20.0	-3.0	0.624245
-20.0	-2.0	0.588248
-20.0	-2.5	0.606247
-20.0	-1.5	0.570249
-20.0	-0.5	0.534252
-20.0	-1.0	0.552251
-19.5	-20.0	1.192735
-19.5	-19.5	1.176487
-19.5	-19.0	1.160239
-19.5	-18.5	1.14399
-19.5	-18.0	1.127742
-19.5	-17.5	1.111494
-19.5	-17.0	1.095245
-19.5	-16.5	1.078997
-20.0	0.0	0.516254
-19.5	-15.5	1.0465
-19.5	-16.0	1.062749
-19.5	-15.0	1.030252
-19.5	-14.0	0.997755
-19.5	-13.5	0.981507
-19.5	-13.0	0.965259
-19.5	-12.5	0.94901
-19.5	-12.0	0.932762
-19.5	-14.5	1.014004
-19.5	-11.5	0.914991
-19.5	-10.5	0.878994
-19.5	-11.0	0.896992
-19.5	-10.0	0.860995
-19.5	-9.5	0.842997
-19.5	-9.0	0.824998
-19.5	-8.5	0.807
-19.5	-8.0	0.789001
-19.5	-7.0	0.753004
-19.5	-7.5	0.771003
-19.5	-6.5	0.735005
-19.5	-6.0	0.717007
-19.5	-5.5	0.699008
-19.5	-5.0	0.68101
-19.5	-4.5	0.663011
-19.5	-4.0	0.645013
-19.5	-3.5	0.627014
-19.5	-3.0	0.609016
-19.5	-2.5	0.591017
-19.5	-2.0	0.573018
-19.5	-1.5	0.55502
-19.5	-1.0	0.537021
