Reaction flux result

Flux : Normalized R_Biomass_Ecoli_core_w_GAM
Objective : Normalized atpYield

Flux	Objective
0.0	1.0
0.005	0.997583
0.015	0.992749
0.01	0.995166
0.02	0.990331
0.025	0.987914
0.03	0.985497
0.035	0.98308
0.04	0.980663
0.045	0.978246
0.05	0.975828
0.055	0.973411
0.06	0.970994
0.07	0.96616
0.065	0.968577
0.075	0.963743
0.085	0.958908
0.08	0.961325
0.09	0.956491
0.1	0.951657
0.095	0.954074
0.105	0.94924
0.11	0.946823
0.115	0.944405
0.125	0.939571
0.12	0.941988
0.13	0.937154
0.135	0.934737
0.14	0.93232
0.145	0.929902
0.15	0.927485
0.155	0.925068
0.16	0.922651
0.165	0.920234
0.17	0.917817
0.18	0.912982
0.175	0.915399
0.185	0.910565
0.19	0.908148
0.195	0.905731
0.2	0.903314
0.205	0.900896
0.21	0.898479
0.215	0.896062
0.225	0.891228
0.22	0.893645
0.23	0.888811
0.235	0.886394
0.24	0.883976
0.245	0.881559
0.25	0.879142
0.255	0.876725
0.26	0.874308
0.27	0.869473
0.265	0.871891
0.275	0.867056
0.28	0.864639
0.285	0.862222
0.29	0.859805
0.295	0.857388
0.3	0.85497
0.305	0.852553
0.31	0.850136
0.315	0.847719
0.32	0.845302
0.325	0.842885
0.33	0.840468
0.335	0.83805
0.34	0.835633
0.345	0.833216
0.35	0.830799
0.355	0.828382
0.365	0.823547
0.36	0.825965
0.37	0.82113
0.375	0.818713
0.38	0.816296
0.385	0.813879
0.39	0.811462
0.395	0.809044
0.4	0.806627
0.405	0.80421
0.41	0.801793
0.42	0.796959
0.415	0.799376
0.425	0.794542
0.43	0.792124
0.435	0.789707
0.44	0.78729
0.445	0.784873
0.45	0.782456
0.455	0.780039
0.46	0.777621
0.465	0.775204
0.475	0.77037
0.48	0.767953
0.47	0.772787
0.485	0.765536
0.49	0.763118
0.495	0.760701
0.5	0.758284
0.505	0.755867
0.51	0.75345
0.515	0.751033
0.52	0.748615
0.525	0.746198
0.53	0.743781
0.535	0.741364
0.54	0.738947
0.545	0.73653
0.55	0.730889
0.555	0.723522
0.56	0.716156
0.565	0.708789
0.57	0.701423
0.575	0.694056
0.58	0.68669
0.585	0.679323
0.59	0.671956
0.595	0.66459
0.6	0.657223
0.605	0.649857
0.61	0.64249
0.615	0.635124
0.62	0.627757
0.625	0.620097
0.63	0.612125
0.635	0.604154
0.64	0.596183
0.645	0.588211
0.65	0.58024
0.66	0.564297
0.655	0.572268
0.665	0.556325
0.67	0.548354
0.675	0.540383
0.68	0.532411
0.685	0.52444
0.69	0.516468
0.695	0.508497
0.7	0.500526
0.705	0.492554
0.71	0.484583
0.715	0.476611
0.72	0.46864
0.725	0.460668
0.73	0.452697
0.735	0.444726
0.74	0.436754
0.745	0.428783
0.75	0.420811
0.755	0.41284
0.76	0.404868
0.765	0.396897
0.77	0.388926
0.775	0.380954
0.78	0.372983
0.785	0.365011
0.79	0.35704
0.795	0.349068
0.8	0.341097
0.805	0.333126
0.81	0.325154
0.815	0.317183
0.82	0.309211
0.825	0.30124
0.83	0.293268
0.835	0.285297
0.84	0.277326
0.845	0.269354
0.85	0.261383
0.855	0.253411
0.86	0.24544
0.865	0.237469
0.87	0.229497
0.875	0.221526
0.88	0.213554
0.885	0.205583
0.89	0.197611
0.895	0.18964
0.9	0.181669
0.905	0.173697
0.91	0.165726
0.915	0.157754
0.92	0.149783
0.93	0.13384
0.935	0.125869
0.925	0.141811
0.94	0.117897
0.95	0.101954
0.945	0.109926
0.955	0.093983
0.96	0.086011
0.965	0.07804
0.97	0.070069
0.975	0.062097
0.98	0.054126
0.985	0.046154
0.99	0.038183
0.995	0.030212
1.0	0.010206

Experimental values
0.909714	0.150638
0.986437	0.117163
0.81107	0.143106
0.81107	0.14478
0.81107	0.146454
0.898753	0.148128
0.843951	0.154823
0.701466	0.178255
0.865872	0.159844
0.854912	0.165702
0.854912	0.166539
0.789149	0.170723
0.789149	0.147291
0.778189	0.153149
0.756268	0.173234
0.832991	0.156496
0.767228	0.166539
0.920674	0.154823
