Two reactions fluxes result

Flux1 : Normalized atpYield
Flux2 : Normalized R_Biomass_Ecoli_core_w_GAM
Objective : Normalized sum

Flux1	Flux2	Objective
0.0	0.0	0.993462
0.0	0.1	0.999172
0.0	0.05	0.996317
0.0	0.15	0.998338
0.0	0.25	0.990591
0.0	0.2	0.995998
0.0	0.3	0.981891
0.0	0.4	0.963758
0.0	0.35	0.972824
0.0	0.45	0.954691
0.0	0.5	0.945624
0.0	0.6	0.927491
0.0	0.55	0.936558
0.0	0.65	0.918424
0.0	0.7	0.909358
0.0	0.75	0.900291
0.0	0.8	0.891224
0.0	0.85	0.879423
0.0	0.9	0.865671
0.0	0.95	0.851919
0.05	0.0	0.958547
0.05	0.05	0.960345
0.05	0.1	0.958005
0.05	0.15	0.955665
0.05	0.2	0.953324
0.05	0.25	0.950984
0.05	0.3	0.948644
0.05	0.35	0.946304
0.05	0.4	0.943963
0.05	0.45	0.941623
0.05	0.5	0.939283
0.05	0.55	0.936943
0.05	0.6	0.930021
0.05	0.65	0.9176
0.05	0.7	0.904806
0.05	0.75	0.892012
0.05	0.8	0.878717
0.05	0.85	0.865389
0.05	0.9	0.852061
0.1	0.0	0.920012
0.05	0.95	0.834795
0.1	0.05	0.917672
0.1	0.1	0.915331
0.1	0.15	0.912991
0.1	0.2	0.910651
0.1	0.25	0.908311
0.1	0.3	0.90597
0.1	0.35	0.90363
0.1	0.4	0.90129
0.1	0.45	0.89895
0.1	0.5	0.896609
0.1	0.55	0.886071
0.1	0.6	0.875155
0.1	0.65	0.864238
0.1	0.7	0.852316
0.1	0.75	0.838258
0.1	0.8	0.8242
0.1	0.85	0.809196
0.1	0.9	0.790872
0.1	0.95	0.750811
0.15	0.0	0.877338
0.15	0.05	0.874998
0.15	0.15	0.870317
0.15	0.1	0.872658
0.15	0.2	0.867977
0.15	0.25	0.865637
0.15	0.3	0.863297
0.15	0.35	0.860956
0.15	0.4	0.858616
0.15	0.45	0.853038
0.15	0.5	0.842122
0.15	0.55	0.831205
0.15	0.6	0.820288
0.15	0.65	0.808183
0.15	0.7	0.794125
0.15	0.75	0.780067
0.15	0.85	0.746949
0.15	0.8	0.765195
0.15	0.9	0.706887
0.2	0.0	0.834664
0.2	0.05	0.832324
0.2	0.1	0.829984
0.2	0.15	0.827644
0.2	0.2	0.825304
0.2	0.25	0.822963
0.2	0.3	0.820623
0.2	0.35	0.818283
0.2	0.4	0.809089
0.2	0.45	0.798172
0.2	0.5	0.787256
0.2	0.55	0.776339
0.2	0.6	0.764049
0.2	0.65	0.749991
0.2	0.7	0.735934
0.2	0.75	0.721193
0.2	0.8	0.703026
0.2	0.85	0.662964
0.25	0.0	0.791991
0.25	0.05	0.789651
0.25	0.1	0.78731
0.25	0.15	0.78497
0.25	0.2	0.78263
0.25	0.25	0.78029
0.25	0.3	0.776056
0.25	0.35	0.76514
0.25	0.4	0.754223
0.25	0.45	0.743306
0.25	0.5	0.73239
0.25	0.55	0.719916
0.25	0.6	0.705858
0.25	0.65	0.6918
0.25	0.7	0.677191
0.25	0.75	0.659103
0.25	0.85	0.57898
0.25	0.8	0.619041
0.3	0.0	0.749317
0.3	0.05	0.746977
0.3	0.15	0.742296
0.3	0.1	0.744637
0.3	0.25	0.732107
0.3	0.2	0.739956
0.3	0.3	0.72119
0.3	0.35	0.710273
0.3	0.4	0.699357
0.3	0.45	0.68844
0.3	0.5	0.675783
0.3	0.55	0.661725
0.3	0.6	0.647667
0.3	0.65	0.63319
0.3	0.7	0.61518
0.3	0.75	0.575118
0.3	0.8	0.535057
0.35	0.0	0.706644
0.35	0.05	0.704303
0.35	0.1	0.701963
0.35	0.15	0.699074
0.35	0.2	0.688157
0.35	0.25	0.677241
0.35	0.3	0.666324
0.35	0.35	0.655407
0.35	0.4	0.644491
0.35	0.45	0.631649
0.35	0.55	0.603533
0.35	0.5	0.617591
0.35	0.6	0.589188
0.35	0.65	0.571257
0.35	0.7	0.531195
0.35	0.75	0.491134
0.4	0.05	0.66163
0.4	0.0	0.66397
0.4	0.1	0.655125
0.4	0.15	0.644208
0.4	0.2	0.633291
0.4	0.25	0.622375
0.4	0.3	0.611458
0.4	0.35	0.600541
0.4	0.4	0.587516
0.4	0.45	0.573458
0.4	0.5	0.5594
0.4	0.55	0.545187
0.4	0.65	0.487272
0.4	0.6	0.527333
0.4	0.7	0.447211
0.4	0.75	0.40715
0.45	0.0	0.621296
0.45	0.05	0.611175
0.45	0.1	0.600258
0.45	0.15	0.589342
0.45	0.2	0.578425
0.45	0.25	0.567508
0.45	0.3	0.556592
0.45	0.35	0.543383
0.45	0.4	0.529325
0.45	0.45	0.515267
0.45	0.5	0.501185
0.45	0.55	0.48341
0.45	0.6	0.443349
0.45	0.65	0.403288
0.45	0.7	0.363227
0.5	0.0	0.567226
0.5	0.05	0.556309
0.5	0.1	0.545392
0.5	0.15	0.534476
0.5	0.2	0.523559
0.5	0.25	0.512642
0.5	0.3	0.499249
0.5	0.35	0.485191
0.5	0.4	0.471133
0.5	0.45	0.457075
0.5	0.5	0.439487
0.5	0.55	0.399426
0.5	0.6	0.359365
0.5	0.65	0.319304
0.5	0.7	0.279243
