Reaction flux result

Flux : Normalized R_Biomass_Ecoli_core_w_GAM
Objective : Normalized atpYield

Flux	Objective
0.0	1.0
0.005	0.998271
0.01	0.996542
0.015	0.994814
0.02	0.993085
0.025	0.991356
0.03	0.989627
0.035	0.987898
0.04	0.98617
0.045	0.984441
0.05	0.982712
0.055	0.980983
0.06	0.979254
0.065	0.977526
0.07	0.975797
0.075	0.974068
0.08	0.972339
0.085	0.97061
0.09	0.968882
0.095	0.967153
0.1	0.965424
0.105	0.963695
0.11	0.961966
0.115	0.960238
0.12	0.958509
0.125	0.95678
0.13	0.955051
0.135	0.953322
0.14	0.951594
0.145	0.949865
0.15	0.948136
0.155	0.946407
0.16	0.944678
0.165	0.94295
0.17	0.941221
0.175	0.939492
0.18	0.937763
0.185	0.936034
0.19	0.934306
0.195	0.932577
0.2	0.930848
0.205	0.929119
0.21	0.92739
0.215	0.925662
0.22	0.923933
0.225	0.921796
0.23	0.919385
0.235	0.916974
0.24	0.914563
0.245	0.912153
0.25	0.909742
0.255	0.907331
0.26	0.90492
0.265	0.902509
0.27	0.900098
0.275	0.897687
0.28	0.895276
0.285	0.892866
0.29	0.890455
0.295	0.888044
0.3	0.885633
0.305	0.883222
0.31	0.880811
0.315	0.8784
0.32	0.875989
0.325	0.873578
0.33	0.871168
0.335	0.868757
0.34	0.866346
0.345	0.863935
0.35	0.861524
0.355	0.859113
0.36	0.856702
0.365	0.854291
0.37	0.851881
0.375	0.84947
0.38	0.847059
0.385	0.844648
0.39	0.842237
0.395	0.839826
0.4	0.837415
0.405	0.835004
0.41	0.832593
0.415	0.830183
0.42	0.827772
0.425	0.825361
0.43	0.82295
0.435	0.820539
0.44	0.818128
0.445	0.815717
0.45	0.813306
0.455	0.810896
0.46	0.808485
0.465	0.806074
0.47	0.803663
0.475	0.801252
0.48	0.798841
0.485	0.79643
0.49	0.794019
0.495	0.791608
0.5	0.789198
0.505	0.786787
0.51	0.784376
0.515	0.780423
0.52	0.773075
0.525	0.765728
0.53	0.75838
0.535	0.751033
0.54	0.743686
0.545	0.736338
0.55	0.728991
0.555	0.721643
0.56	0.714296
0.565	0.706949
0.57	0.699601
0.575	0.692254
0.58	0.684906
0.585	0.677559
0.59	0.670212
0.595	0.662864
0.6	0.655517
0.605	0.64817
0.61	0.640822
0.615	0.633475
0.62	0.626127
0.625	0.618487
0.63	0.610536
0.635	0.602585
0.64	0.594635
0.645	0.586684
0.65	0.578733
0.655	0.570782
0.66	0.562832
0.665	0.554881
0.67	0.54693
0.675	0.538979
0.68	0.531029
0.685	0.523078
0.69	0.515127
0.695	0.507177
0.7	0.499226
0.705	0.491275
0.71	0.483324
0.715	0.475374
0.72	0.467423
0.725	0.459472
0.73	0.451522
0.735	0.443571
0.74	0.43562
0.745	0.427669
0.75	0.419719
0.755	0.411768
0.76	0.403817
0.765	0.395866
0.77	0.387916
0.775	0.379965
0.78	0.372014
0.785	0.364064
0.79	0.356113
0.795	0.348162
0.8	0.340211
0.805	0.332261
0.81	0.32431
0.815	0.316359
0.82	0.308408
0.825	0.300458
0.83	0.292507
0.835	0.284556
0.84	0.276606
0.845	0.268655
0.85	0.260704
0.855	0.252753
0.86	0.244803
0.865	0.236852
0.87	0.228901
0.875	0.22095
0.88	0.213
0.885	0.205049
0.89	0.197098
0.895	0.189148
0.9	0.181197
0.905	0.173246
0.91	0.165295
0.915	0.157345
0.92	0.149394
0.925	0.141443
0.93	0.133492
0.935	0.125542
0.94	0.117591
0.945	0.10964
0.95	0.10169
0.955	0.093739
0.96	0.085788
0.965	0.077837
0.97	0.069887
0.975	0.061936
0.98	0.053985
0.985	0.046035
0.99	0.038084
0.995	0.030133

Experimental values
0.986437	0.116859
0.909714	0.150247
0.756268	0.172784
0.843951	0.154421
0.778189	0.152751
0.767228	0.166107
0.898753	0.147743
0.920674	0.154421
0.832991	0.15609
0.789149	0.17028
0.789149	0.146908
0.854912	0.165272
0.854912	0.166107
0.865872	0.159429
0.81107	0.142735
0.81107	0.144404
0.81107	0.146074
0.701466	0.177792
