Two reactions fluxes result

Flux1 : Normalized atpYield
Flux2 : Normalized R_Biomass_Ecoli_core_w_GAM
Objective : Normalized sum

Flux1	Flux2	Objective
0.0	0.0	0.993823
0.0	0.05	0.996521
0.0	0.1	0.999218
0.0	0.15	0.99843
0.0	0.2	0.996219
0.0	0.25	0.99111
0.0	0.3	0.982891
0.0	0.35	0.974325
0.0	0.4	0.965759
0.0	0.45	0.957193
0.0	0.5	0.948627
0.0	0.55	0.94006
0.0	0.6	0.931494
0.0	0.65	0.922928
0.0	0.7	0.914362
0.0	0.75	0.905796
0.0	0.8	0.89723
0.0	0.85	0.886081
0.0	0.9	0.873088
0.0	0.95	0.860095
0.05	0.0	0.96075
0.05	0.05	0.96243
0.05	0.1	0.960219
0.05	0.15	0.958008
0.05	0.2	0.955797
0.05	0.25	0.953586
0.05	0.3	0.951374
0.05	0.35	0.949163
0.05	0.4	0.946952
0.05	0.45	0.944741
0.05	0.5	0.94253
0.05	0.55	0.940319
0.05	0.6	0.933749
0.05	0.65	0.922021
0.05	0.7	0.909933
0.05	0.75	0.897846
0.05	0.8	0.885292
0.05	0.85	0.8727
0.05	0.9	0.860107
0.05	0.95	0.84371
0.1	0.0	0.924218
0.1	0.05	0.922007
0.1	0.1	0.919796
0.1	0.15	0.917585
0.1	0.2	0.915374
0.1	0.25	0.913163
0.1	0.3	0.910952
0.1	0.35	0.908741
0.1	0.4	0.90653
0.1	0.45	0.904319
0.1	0.5	0.902108
0.1	0.55	0.892092
0.1	0.6	0.881778
0.1	0.65	0.871464
0.1	0.7	0.860184
0.1	0.75	0.846902
0.1	0.8	0.83362
0.1	0.85	0.819438
0.1	0.9	0.802005
0.1	0.95	0.764156
0.15	0.0	0.883796
0.15	0.05	0.881585
0.15	0.1	0.879374
0.15	0.15	0.877163
0.15	0.2	0.874952
0.15	0.25	0.872741
0.15	0.3	0.87053
0.15	0.35	0.868318
0.15	0.4	0.866107
0.15	0.45	0.860748
0.15	0.5	0.850434
0.15	0.55	0.84012
0.15	0.6	0.829806
0.15	0.65	0.818344
0.15	0.7	0.805062
0.15	0.75	0.791781
0.15	0.8	0.777719
0.15	0.85	0.760301
0.15	0.9	0.722451
0.2	0.0	0.843373
0.2	0.05	0.841162
0.2	0.1	0.838951
0.2	0.15	0.83674
0.2	0.2	0.834529
0.2	0.25	0.832318
0.2	0.3	0.830107
0.2	0.35	0.827896
0.2	0.4	0.81909
0.2	0.45	0.808776
0.2	0.5	0.798462
0.2	0.55	0.788148
0.2	0.6	0.776504
0.2	0.65	0.763223
0.2	0.7	0.749941
0.2	0.75	0.736001
0.2	0.8	0.718596
0.2	0.85	0.680747
0.25	0.0	0.802951
0.25	0.05	0.80074
0.25	0.1	0.798529
0.25	0.15	0.796318
0.25	0.2	0.794107
0.25	0.25	0.791896
0.25	0.3	0.787746
0.25	0.35	0.777432
0.25	0.4	0.767118
0.25	0.45	0.756804
0.25	0.5	0.74649
0.25	0.55	0.734665
0.25	0.6	0.721383
0.25	0.65	0.708101
0.25	0.7	0.694282
0.25	0.75	0.676892
0.25	0.8	0.639042
0.25	0.85	0.601193
0.3	0.0	0.762528
0.3	0.05	0.760317
0.3	0.1	0.758106
0.3	0.15	0.755895
0.3	0.2	0.753684
0.3	0.25	0.746088
0.3	0.3	0.735774
0.3	0.35	0.72546
0.3	0.4	0.715146
0.3	0.45	0.704832
0.3	0.5	0.692825
0.3	0.55	0.679543
0.3	0.6	0.666261
0.3	0.65	0.652563
0.3	0.7	0.635187
0.3	0.75	0.597338
0.3	0.8	0.559488
0.35	0.0	0.722106
0.35	0.05	0.719895
0.35	0.1	0.717684
0.35	0.15	0.714744
0.35	0.2	0.70443
0.35	0.25	0.694116
0.35	0.3	0.683802
0.35	0.35	0.673488
0.35	0.4	0.663175
0.35	0.45	0.650985
0.35	0.5	0.637703
0.35	0.55	0.624421
0.35	0.6	0.610845
0.35	0.65	0.593483
0.35	0.7	0.555633
0.35	0.75	0.517784
0.4	0.0	0.681683
0.4	0.05	0.679472
