Time	M_lcts_b	M_glc_D_b	X	lacZ	
0.0	5.8	1.6	0.011	0.0	
0.1	5.8	1.592634	0.011671	0.0	
0.2	5.8	1.584819	0.012383	1.0	
0.30000000000000004	5.8	1.576526	0.013139	1.0	
0.4	5.8	1.567728	0.013941	1.0	
0.5	5.8	1.558393	0.014791	1.0	
0.6000000000000001	5.8	1.548488	0.015694	1.0	
0.7000000000000001	5.8	1.53798	0.016651	1.0	
0.8	5.8	1.526829	0.017667	1.0	
0.9	5.8	1.514999	0.018745	1.0	
1.0	5.8	1.502447	0.019889	1.0	
1.1	5.8	1.489129	0.021102	1.0	
1.2000000000000002	5.8	1.474998	0.02239	1.0	
1.3	5.8	1.460005	0.023756	1.0	
1.4000000000000001	5.8	1.444097	0.025205	1.0	
1.5	5.8	1.427219	0.026743	1.0	
1.6	5.8	1.40931	0.028375	1.0	
1.7000000000000002	5.8	1.39031	0.030106	1.0	
1.8	5.8	1.370149	0.031943	1.0	
1.9000000000000001	5.8	1.348759	0.033892	1.0	
2.0	5.8	1.326064	0.03596	1.0	
2.1	5.8	1.301984	0.038154	1.0	
2.2	5.8	1.276434	0.040482	1.0	
2.3000000000000003	5.8	1.249326	0.042952	1.0	
2.4000000000000004	5.8	1.220564	0.045573	1.0	
2.5	5.8	1.190047	0.048354	1.0	
2.6	5.8	1.157667	0.051304	1.0	
2.7	5.8	1.123313	0.054434	1.0	
2.8000000000000003	5.8	1.086862	0.057755	1.0	
2.9000000000000004	5.8	1.048187	0.061279	1.0	
3.0	5.8	1.007152	0.065018	1.0	
3.1	5.8	0.963614	0.068985	1.0	
3.2	5.8	0.917419	0.073194	1.0	
3.3000000000000003	5.8	0.868405	0.07766	1.0	
3.4000000000000004	5.8	0.816401	0.082399	1.0	
3.5	5.8	0.761224	0.087426	1.0	
3.6	5.8	0.70268	0.092761	1.0	
3.7	5.8	0.640565	0.09842	1.0	
3.8000000000000003	5.8	0.574659	0.104426	1.0	
3.9000000000000004	5.8	0.504732	0.110797	1.0	
4.0	5.8	0.430539	0.117557	1.0	
4.1000000000000005	5.8	0.351818	0.12473	1.0	
4.2	5.8	0.268295	0.13234	1.0	
4.3	5.8	0.179675	0.140415	1.0	
4.4	5.8	0.085648	0.148983	1.0	
4.5	5.8	0.0	0.156933	1.0	
4.6000000000000005	5.8	0.0	0.156933	1.0	
4.7	5.8	0.0	0.156933	1.0	
4.800000000000001	5.8	0.0	0.156933	1.0	
4.9	5.8	0.0	0.156933	2.0	
5.0	5.751623	0.0	0.165659	2.0	
5.1000000000000005	5.700556	0.0	0.17487	2.0	
5.2	5.64665	0.0	0.184593	2.0	
5.300000000000001	5.589746	0.0	0.194856	2.0	
5.4	5.529679	0.0	0.20569	2.0	
5.5	5.466272	0.0	0.217127	2.0	
5.6000000000000005	5.399339	0.0	0.229199	2.0	
5.7	5.328685	0.0	0.241943	2.0	
5.800000000000001	5.254103	0.0	0.255395	2.0	
5.9	5.175373	0.0	0.269595	2.0	
6.0	5.092266	0.0	0.284585	2.0	
6.1000000000000005	5.004539	0.0	0.300408	2.0	
6.2	4.911933	0.0	0.317111	2.0	
6.300000000000001	4.814179	0.0	0.334743	2.0	
6.4	4.71099	0.0	0.353355	2.0	
6.5	4.602063	0.0	0.373002	2.0	
6.6000000000000005	4.487079	0.0	0.393741	2.0	
6.7	4.365703	0.0	0.415633	2.0	
6.800000000000001	4.237578	0.0	0.438743	2.0	
6.9	4.102329	0.0	0.463137	2.0	
