Reaction flux result

Flux : Normalized atpYield
Objective : Normalized sum

Flux	Objective
0.0	1.0
0.005	0.996082
0.01	0.992164
0.015	0.988246
0.02	0.984329
0.025	0.980411
0.03	0.976493
0.035	0.972575
0.04	0.968657
0.045	0.964739
0.05	0.960821
0.055	0.956904
0.06	0.952986
0.065	0.949068
0.07	0.94515
0.075	0.941232
0.085	0.932814
0.08	0.937081
0.09	0.928546
0.095	0.924279
0.105	0.915744
0.1	0.920012
0.11	0.911477
0.12	0.902942
0.115	0.90721
0.125	0.898675
0.135	0.89014
0.13	0.894408
0.14	0.885873
0.145	0.881605
0.15	0.877338
0.155	0.873071
0.16	0.868803
0.165	0.864536
0.17	0.860269
0.175	0.856001
0.18	0.851734
0.185	0.847467
0.19	0.843199
0.195	0.838932
0.2	0.834664
0.205	0.830397
0.21	0.82613
0.215	0.821862
0.22	0.817595
0.225	0.813328
0.23	0.80906
0.235	0.804793
0.24	0.800526
0.245	0.796258
0.25	0.791991
0.255	0.787723
0.26	0.783456
0.265	0.779189
0.27	0.774921
0.275	0.770654
0.28	0.766387
0.285	0.762119
0.29	0.757852
0.3	0.749317
0.295	0.753585
0.305	0.74505
0.31	0.740782
0.315	0.736515
0.32	0.732248
0.325	0.72798
0.33	0.723713
0.335	0.719446
0.34	0.715178
0.35	0.706644
0.345	0.710911
0.355	0.702376
0.36	0.698109
0.365	0.693841
0.37	0.689574
0.38	0.681039
0.375	0.685307
0.385	0.676772
0.39	0.672505
0.395	0.668237
0.4	0.66397
0.405	0.659703
0.41	0.655435
0.415	0.651168
0.42	0.6469
0.425	0.642633
0.43	0.638366
0.435	0.634098
0.44	0.629831
0.445	0.625564
0.45	0.621296
0.455	0.616605
0.46	0.611119
0.465	0.605632
0.475	0.594659
0.48	0.589172
0.47	0.600145
0.485	0.583686
0.49	0.578199
0.495	0.572712
0.505	0.561739
0.5	0.567226
0.51	0.556252
0.515	0.550766
0.52	0.545279
0.525	0.539793
0.53	0.534306
0.535	0.528819
0.54	0.523333
0.545	0.517846
0.55	0.51236
0.555	0.506873
0.56	0.501386
0.565	0.4959
0.57	0.490413
0.575	0.484927
0.58	0.47944
0.585	0.473953
0.59	0.468467
0.595	0.46298
0.6	0.457493
0.605	0.452007
0.61	0.44652
0.615	0.441034
0.62	0.435547
0.625	0.43006
0.63	0.424574
0.635	0.419087
0.64	0.413601
0.645	0.408114
0.65	0.402627
0.655	0.397141
0.66	0.391654
0.665	0.386168
0.67	0.380681
0.675	0.375194
0.68	0.369708
0.685	0.364221
0.69	0.358735
0.695	0.353248
0.7	0.347761
0.705	0.342275
0.71	0.336788
0.715	0.331301
0.72	0.325815
0.725	0.320328
0.73	0.314842
0.735	0.309355
0.745	0.298382
0.74	0.303868
0.75	0.29264
0.755	0.286821
0.76	0.281002
0.765	0.275183
0.77	0.269364
0.775	0.263545
0.78	0.257726
0.785	0.251907
0.79	0.246087
0.795	0.240268
0.8	0.234449
0.805	0.22863
0.81	0.222811
0.815	0.216992
0.82	0.211173
0.825	0.205353
0.83	0.199534
0.835	0.193715
0.84	0.187896
0.845	0.182077
0.85	0.176258
0.855	0.170439
0.86	0.16462
0.865	0.1588
0.87	0.152981
0.875	0.147162
0.885	0.135524
0.88	0.141343
0.895	0.123886
0.89	0.129705
0.9	0.118067
0.905	0.112247
0.91	0.106428
0.915	0.100609
0.92	0.09479
0.925	0.088971
0.93	0.083152
0.935	0.077333
0.94	0.071513
0.945	0.065694
0.95	0.059875
0.955	0.054056
0.96	0.048237
0.965	0.042418
0.97	0.036599
0.975	0.03078
0.98	0.02496
0.985	0.019141
0.99	0.013322
0.995	0.007503

Experimental values
0.170723	0.688294
0.14478	0.667723
0.148128	0.708163
0.146454	0.65662
0.173234	0.676197
0.150638	0.709858
0.159844	0.680288
0.154823	0.691508
0.154823	0.729084
0.165702	0.718916
0.178255	0.66188
0.147291	0.645049
0.156496	0.702086
0.117163	0.692502
0.143106	0.677658
0.166539	0.670879
0.166539	0.650542
0.153149	0.696534
